8,6,1,0,-6.40,-7.70,4.09,-0.25,0.71,-0.01,-1.42,50.92,2.07
65,6,1,57,-5.87,-6.62,5.44,-0.25,0.71,-0.03,-0.01,102.79,2.28
122,6,1,114,-8.41,-4.58,4.24,-0.24,0.72,-0.04,1.26,16.38,1.72
179,6,1,171,-7.49,-5.20,2.85,-0.25,0.72,-0.02,5.33,-71.91,2.45
236,6,1,228,-5.87,-7.23,3.16,-0.25,0.72,-0.01,0.91,55.54,0.66
293,6,1,285,-6.86,-7.64,3.73,-0.25,0.71,-0.03,2.51,58.58,-1.96
350,6,1,342,-7.09,-9.40,1.56,-0.23,0.71,-0.04,14.34,178.95,-15.86
407,6,1,399,-6.03,-9.33,14.38,-0.23,0.71,-0.05,26.84,181.80,-33.93
464,6,1,456,-16.93,-8.09,5.47,-0.23,0.71,-0.07,17.56,249.76,-49.49
521,6,1,513,1.64,-3.97,7.42,-0.21,0.69,-0.12,5.50,284.59,-58.44
578,6,1,570,1.58,-4.03,3.94,-0.17,0.69,-0.13,-5.62,197.66,-44.28
635,6,1,627,-2.36,-3.49,10.24,-0.17,0.69,-0.15,3.46,-14.27,-0.95
692,6,1,684,-5.97,-3.91,8.76,-0.18,0.69,-0.13,-7.40,-286.67,55.53
749,6,1,741,-5.03,-4.88,9.92,-0.22,0.70,-0.10,-49.09,-286.72,93.91
806,6,1,798,-8.73,-7.45,8.89,-0.25,0.71,-0.05,-91.54,-286.72,84.17
863,6,1,855,-3.89,-6.51,5.85,-0.26,0.72,0.00,-99.71,-286.72,40.17
920,6,1,912,3.47,-11.45,3.10,-0.25,0.72,0.04,-61.21,-84.21,11.18
977,6,1,969,-1.62,-10.89,1.05,-0.25,0.72,0.02,1.60,154.17,14.12
1034,6,1,1026,-4.13,-8.97,1.56,-0.24,0.72,-0.00,49.60,286.68,-3.94
1091,6,1,1083,-6.79,-7.76,5.98,-0.23,0.73,-0.03,72.31,286.68,-44.42
1148,6,1,1140,-8.04,-5.05,8.80,-0.21,0.72,-0.07,55.02,286.68,-67.09
1205,6,1,1197,-7.03,-4.81,10.45,-0.19,0.72,-0.09,37.94,242.80,-51.23
1262,6,1,1254,-7.70,6.10,-2.46,-0.18,0.72,-0.09,25.78,2.57,-19.65
1319,6,1,1311,-4.76,-6.03,6.63,-0.19,0.72,-0.08,-0.76,-122.22,8.99
1376,6,1,1368,-5.41,-5.35,7.06,-0.20,0.72,-0.06,-15.98,-214.62,34.22
1433,6,1,1425,-7.65,-5.12,6.50,-0.21,0.73,-0.06,-42.86,-286.72,60.48
1490,6,1,1482,-7.75,-3.98,3.17,-0.21,0.73,-0.02,-91.84,-286.72,80.82
1547,6,1,1539,-9.42,-6.77,3.89,-0.22,0.73,-0.03,-146.56,-286.72,67.54
1604,6,1,1596,-12.25,-7.55,4.33,-0.22,0.74,-0.03,-168.89,-286.72,24.30
1661,6,1,1653,-2.04,-6.23,4.35,-0.24,0.74,-0.02,-159.84,-250.17,-17.22
1718,6,1,1710,-5.91,-5.56,4.86,-0.26,0.72,-0.05,-128.97,-30.11,-9.81
1775,6,1,1767,-2.33,-6.76,4.38,-0.26,0.70,-0.08,-85.96,-13.44,2.48
1832,6,1,1824,-5.93,-9.75,4.65,-0.26,0.71,-0.11,-37.56,41.83,-0.22
1889,6,1,1881,-1.79,-9.65,3.70,-0.26,0.69,-0.11,22.78,61.71,-20.89
1946,6,1,1938,-6.19,-7.10,4.90,-0.25,0.71,-0.12,84.64,178.54,-36.56
2003,6,1,1995,-9.59,-6.40,2.78,-0.21,0.71,-0.13,117.92,286.68,-60.15
2060,6,1,2052,-9.66,-6.56,2.92,-0.19,0.71,-0.12,109.13,286.68,-87.18
2142,6,2,0,-10.55,-7.41,5.50,-0.14,0.73,-0.13,65.00,220.36,-73.68
2200,6,2,58,-7.73,-8.47,1.89,-0.14,0.74,-0.10,35.86,3.26,-30.59
2257,6,2,115,-5.59,-7.15,1.90,-0.15,0.74,-0.09,0.57,-179.41,23.14
2314,6,2,172,-7.53,-5.83,5.66,-0.16,0.73,-0.09,-49.37,-286.72,53.50
2371,6,2,229,-6.02,-5.77,8.28,-0.18,0.73,-0.09,-83.65,-286.72,50.77
2428,6,2,286,-3.69,-6.68,6.17,-0.20,0.73,-0.09,-87.36,-275.90,27.59
2485,6,2,343,-4.39,-7.56,4.71,-0.23,0.72,-0.09,-55.91,-118.68,8.43
2542,6,2,400,-3.97,-8.95,0.15,-0.23,0.72,-0.09,-5.85,74.31,-1.09
2599,6,2,457,-3.77,-8.01,1.24,-0.22,0.72,-0.11,41.06,264.07,-30.19
2656,6,2,514,-4.27,-7.44,3.69,-0.18,0.72,-0.13,69.11,286.68,-71.92
2713,6,2,571,-6.43,-7.44,8.01,-0.14,0.73,-0.13,59.59,286.68,-116.79
2770,6,2,628,19.33,1.31,-10.49,-0.10,0.73,-0.13,16.91,233.02,-148.39
2827,6,2,685,-8.79,-3.55,-0.92,-0.11,0.73,-0.12,16.32,226.76,-121.14
2884,6,2,742,-4.35,-8.14,6.34,-0.11,0.73,-0.13,12.79,55.37,-90.87
2941,6,2,799,-0.58,-7.79,5.83,-0.14,0.74,-0.12,21.18,42.99,-68.56
2998,6,2,856,-1.07,-6.98,7.40,-0.15,0.74,-0.12,25.24,39.70,-44.26
3055,6,2,913,1.83,-5.01,13.83,-0.15,0.73,-0.11,34.78,-45.33,-35.48
3112,6,2,970,-3.47,-5.93,7.22,-0.17,0.74,-0.10,3.95,-38.04,3.46
3169,6,2,1027,-3.45,-5.56,8.97,-0.16,0.73,-0.10,-4.57,-125.53,35.31
3226,6,2,1084,-3.10,-4.85,8.07,-0.18,0.74,-0.09,-22.62,-285.08,60.13
3283,6,2,1141,-5.13,-6.73,5.29,-0.19,0.74,-0.08,-55.97,-286.72,68.10
3340,6,2,1198,-3.85,-9.13,3.63,-0.21,0.74,-0.05,-90.36,-286.72,38.79
3397,6,2,1255,-6.26,-6.33,-1.63,-0.22,0.74,-0.02,-90.71,-286.72,-5.24
3454,6,2,1312,-3.63,-9.05,0.96,-0.24,0.74,0.02,-67.59,-258.03,-18.67
3511,6,2,1369,-5.83,-9.84,1.19,-0.25,0.73,0.01,-36.16,81.33,8.63
3568,6,2,1426,-1.26,-9.42,0.88,-0.23,0.74,-0.00,19.21,193.12,10.90
3625,6,2,1483,-3.18,-9.74,3.73,-0.23,0.74,-0.02,73.75,246.82,-26.57
3682,6,2,1540,-5.37,-7.57,4.78,-0.24,0.74,-0.03,114.03,262.39,-67.28
3739,6,2,1597,-13.81,-5.48,6.39,-0.24,0.73,-0.03,121.08,286.68,-89.73
3796,6,2,1654,-13.34,-4.25,3.45,-0.25,0.73,-0.05,111.68,233.13,-81.93
3853,6,2,1711,-9.17,-6.60,2.78,-0.26,0.72,-0.04,92.43,131.07,-59.28
3910,6,2,1768,-6.47,-6.42,3.51,-0.26,0.71,-0.04,72.75,59.96,-41.45
3967,6,2,1825,-8.62,-5.73,4.07,-0.28,0.71,-0.02,46.82,-13.73,-17.31
4024,6,2,1882,-10.57,-4.43,0.68,-0.28,0.71,0.01,4.33,-188.27,26.17
4081,6,2,1939,-8.10,-5.27,2.93,-0.27,0.72,0.03,-56.00,-257.16,51.73
4138,6,2,1996,-5.55,-5.63,6.07,-0.25,0.72,0.05,-87.06,-286.72,35.20
4195,6,2,2053,-4.78,-6.31,4.42,-0.22,0.74,0.09,-91.81,-286.72,4.23
